url,locale,is_pb,panel_grids,panel_rows,widget_count,recipe,rare,has_rare
https://www.skoda-storyboard.com/en/skoda-world/rally-champion-fuel-efficiency-record-holder/,en,True,38,29,6,skoda-offset+sow-editor+skoda-offset+sow-editor+skoda-offset+sow-editor,,no
https://www.skoda-storyboard.com/en/podcast-en/podcast-exploreskoda-ev-lounge-meet-up-real-life-experiences-with-skoda-evs/,en,True,8,2,2,sow-editor+sow-editor,,no
https://www.skoda-storyboard.com/en/models/enyaq/spas-mines-and-a-hotel-on-rails-discover-the-scenic-ore-mountains-and-saxony/,en,True,8,2,1,sow-editor,,no
https://www.skoda-storyboard.com/en/skoda-world/high-performance-with-low-fuel-consumption-discover-the-magic-of-the-1-5-tsi-evo2-engine/,en,True,89,63,1,sow-editor,,no
https://www.skoda-storyboard.com/en/podcast-en/podcast-exploreskoda-steve-fowler-from-diesel-doubts-to-electric-confidence/,en,True,8,2,2,sow-editor+sow-editor,,no
https://www.skoda-storyboard.com/en/skoda-world/heritage/i-keep-discovering-new-things-in-the-archive/,en,True,28,20,5,sow-editor+skoda-offset+sow-editor+skoda-offset+sow-editor,,no
https://www.skoda-storyboard.com/en/skoda-world/faster-and-more-exciting-the-new-skoda-fabia-130-thrives-in-corners/,en,True,18,11,10,skoda-offset+sow-editor+skoda-carousel-widget+skoda-offset+sow-editor+skoda-offset+sow-editor+skoda-carousel-widget+skoda-offset+sow-editor,,no
https://www.skoda-storyboard.com/en/skoda-world/an-ice-scraper-an-umbrella-and-dozens-more-the-birth-of-the-simply-clever-phenomenon/,en,True,8,2,9,skoda-carousel-widget+sow-editor+skoda-offset+sow-editor+skoda-carousel-widget+skoda-offset+sow-editor+skoda-carousel-widget+sow-editor,,no
https://www.skoda-storyboard.com/en/emobility/coffee-on-electric-wheels-elroq-and-enyaq-serving-coffee/,en,True,18,11,4,skoda-offset+sow-editor+skoda-offset+skoda-carousel-widget,,no
https://www.skoda-storyboard.com/en/skoda-world/an-icon-reimagined-the-radical-skoda-110-r/,en,True,33,23,4,skoda-carousel-widget+sow-editor+skoda-offset+sow-editor,,no
https://www.skoda-storyboard.com/en/lifestyle/motorsport/a-rally-champions-challenge-300-km-by-bike-through-the-white-night/,en,True,23,17,2,skoda-offset+sow-editor,,no
https://www.skoda-storyboard.com/en/skoda-world/sketch-like-a-chief-designer/,en,True,24,14,4,skoda-offset+sow-editor+skoda-carousel-widget+skoda-offset,,no
https://www.skoda-storyboard.com/en/emobility/elroq-rs-in-a-robe-unveiling-the-secret-of-matte-paint/,en,True,18,11,6,sow-editor+sow-editor+skoda-offset+sow-editor+skoda-carousel-widget+sow-editor,,no
https://www.skoda-storyboard.com/en/skoda-world/skoda-classic-tour-up-close/,en,True,8,2,9,sow-editor+sow-editor+skoda-carousel-widget+skoda-offset+sow-editor+skoda-carousel-widget+skoda-offset+sow-editor+skoda-carousel-widget,,no
https://www.skoda-storyboard.com/en/emobility/the-world-premiere-of-the-skoda-vision-o/,en,True,34,20,7,skoda-carousel-widget+sow-editor+sow-editor+skoda-carousel-widget+sow-editor+skoda-offset+sow-editor,,no
https://www.skoda-storyboard.com/en/skoda-world/safety-and-new-features-how-to-keep-your-skoda-updated/,en,True,18,11,7,skoda-offset+sow-editor+skoda-offset+sow-editor+skoda-offset+sow-editor+skoda-offset,,no
https://www.skoda-storyboard.com/en/skoda-world/an-icon-reimagined-the-playful-felicia-fun/,en,True,23,17,5,skoda-offset+sow-editor+skoda-carousel-widget+sow-editor+skoda-offset,,no
https://www.skoda-storyboard.com/en/lifestyle/with-the-skoda-rapid-beyond-the-arctic-circle-and-to-the-olympics/,en,True,39,26,2,sow-editor+skoda-carousel-widget,,no
https://www.skoda-storyboard.com/en/emobility/the-vision-o-interior-charming-practical-and-functional/,en,True,52,32,28,sow-editor+sow-editor+sow-editor+sow-editor+sow-editor+sow-editor+sow-editor+sow-editor+sow-editor+sow-editor+sow-editor+sow-editor+sow-editor+sow-editor+skoda-offset+skoda-offset+sow-editor+sow-editor+sow-editor+sow-editor+sow-editor+sow-editor+skoda-offset+skoda-offset+sow-editor+sow-editor+sow-editor+sow-editor,,no
https://www.skoda-storyboard.com/en/emobility/the-skoda-enyaq-will-win-you-over-in-60-seconds/,en,True,18,11,4,sow-editor+skoda-carousel-widget+sow-editor+sow-editor,,no
https://www.skoda-storyboard.com/en/skoda-world/the-immortal-octavia-see-what-it-looks-like-after-one-million-kilometres/,en,True,24,14,2,sow-editor+sow-editor,,no
https://www.skoda-storyboard.com/en/emobility/skoda-vision-o-back-to-the-roots/,en,True,35,23,20,sow-editor+sow-editor+sow-editor+sow-editor+sow-editor+sow-editor+sow-editor+sow-editor+skoda-offset+skoda-offset+sow-editor+sow-editor+sow-editor+sow-editor+sow-editor+sow-editor+skoda-offset+skoda-offset+sow-editor+sow-editor,,no
https://www.skoda-storyboard.com/en/skoda-world/citijet-kick-started-our-careers-the-authors-recall-the-first-skoda-student-car/,en,True,23,17,9,sow-editor+skoda-offset+sow-editor+sow-editor+skoda-offset+sow-editor+skoda-carousel-widget+sow-editor+skoda-offset,,no
https://www.skoda-storyboard.com/en/emobility/how-aerodynamicists-work-their-magic/,en,True,28,20,6,skoda-offset+sow-editor+sow-editor+skoda-offset+sow-editor+sow-editor,,no
https://www.skoda-storyboard.com/en/lifestyle/explore-albania/,en,True,13,8,6,sow-editor+skoda-carousel-widget+sow-editor+skoda-offset+sow-editor+skoda-carousel-widget,,no
https://www.skoda-storyboard.com/en/emobility/skoda-vision-o-a-glimpse-into-the-estate-car-of-tomorrow/,en,True,29,21,16,sow-editor+sow-editor+sow-editor+sow-editor+sow-editor+sow-editor+skoda-offset+skoda-offset+sow-editor+sow-editor+sow-editor+sow-editor+skoda-offset+skoda-offset+sow-editor+sow-editor,,no
